,ALACHUA,BAKER,BAY,BRADFORD,BREVARD,BROWARD,CALHOUN,CHARLOTTE,CITRUS,CLAY,COLLIER,COLUMBIA,DESOTO,DIXIE,DUVAL,ESCAMBIA,FLAGLER,FRANKLIN,GADSDEN,GILCHRIST,GLADES,GULF,HAMILTON,HARDEE,HENDRY,HERNANDO,HIGHLANDS,HILLSBOROUGH,HOLMES,INDIANRIVER,JACKSON,JEFFERSON,LAFAYETTE,LAKE,LEE,LEON,LEVY,LIBERTY,MADISON,MANATEE,MARION,MARTIN,MIAMI-DADE,MONROE,NASSAU,OKALOOSA,OKEECHOBEE,ORANGE,OSCEOLA,PALMBEACH,PASCO,PINELLAS,POLK,PUTNAM,SANTAROSA,SARASOTA,SEMINOLE,STJOHNS,STLUCIE,SUMTER,SUWANNEE,TAYLOR,UNION,VOLUSIA,WAKULLA,WALTON,WASHINGTON
ALACHUA,0.0,0.0,0.0,0.010772247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5494463e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015067492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7797769e-05,0.0,0.0,0.0,6.9524785e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8891376e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029565918,0.0,0.0,0.0,0.0
BAKER,0.0,0.0,0.0,0.0014270968,0.0,0.0,0.0,0.0,0.0,2.1395543e-05,0.0,0.014144513,0.0,0.0,4.9676696e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5354855e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021638501,0.0,0.0,0.0,0.0
BAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0015857228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010383043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5868653e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8988527e-07,0.0088124545
BRADFORD,0.010772247,0.0014270968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03972429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6346223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18768619,0.0,0.0,0.0,0.0
BREVARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8480557e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1931256e-06,0.000544051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.791962e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.7698234e-15,0.0,0.0,0.0
BROWARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8481327e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4502064e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9120463e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.8661108e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALHOUN,0.0,0.0,0.0015857228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7614773e-06,0.0,0.0,0.0001660681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015388171,0.0,0.0,0.0,0.0,0.0,0.0,0.013973032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHARLOTTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025919601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.662194e-08,0.0,0.0,0.0,5.976108e-11,0.0,2.8418188e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008744763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013174758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITRUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021940585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.154972e-06,0.0,0.0,0.0,9.762813e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030593227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLAY,0.0,2.1395543e-05,0.0,0.03972429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014752967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017974892,0.0,0.0,0.0,0.0029734941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
